,Team,Margin_Of_Victory,Simple_Rating_System,Offensive_Rating,Defensive_Rating,Net_Rating,Pace,Free_Throw_Rate,3_Pt_Rate,Turnover_Percentage,Offensive_Rebound_Percentage,Opponent_EFG,Opponent_Turnover_Percentage,Opponent_Defensive_Rebound_Percentage,Team_ID,year
98,UTAH_JAZZ,2.47,2.52,112.3,109.9,2.4,98.6,0.268,0.414,13.7,21.6,0.518,11.1,78.9,28,2019
99,DENVER_NUGGETS,2.11,2.35,113.1,111.0,2.1,97.1,0.235,0.344,12.3,24.8,0.5329999999999999,12.9,76.8,7,2019
100,OKLAHOMA_CITY_THUNDER,1.99,2.33,110.8,108.8,2.0,98.8,0.29,0.353,12.4,19.3,0.518,12.6,76.8,20,2019
101,PHILADELPHIA_76ERS,2.38,2.25,111.3,109.0,2.3,99.0,0.255,0.36,12.7,23.9,0.523,12.5,80.3,22,2019
102,INDIANA_PACERS,1.96,1.63,110.0,108.0,2.0,98.9,0.21600000000000005,0.317,12.0,20.0,0.511,13.0,76.7,11,2019
103,PHOENIX_SUNS,0.22,0.56,111.7,111.4,0.3,101.3,0.271,0.361,13.0,22.2,0.539,13.7,78.8,23,2019
104,NEW_ORLEANS_PELICANS,-1.29,-0.55,110.7,111.9,-1.2,103.7,0.256,0.403,13.9,24.2,0.532,12.4,77.8,18,2019
105,PORTLAND_TRAIL_BLAZERS,-1.15,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,11.2,22.4,0.53,11.2,75.3,24,2019
106,SAN_ANTONIO_SPURS,-1.11,-0.65,112.4,113.5,-1.1,100.5,0.262,0.318,11.2,20.1,0.542,11.7,79.2,26,2019
107,MEMPHIS_GRIZZLIES,-1.07,-0.91,109.2,110.3,-1.1,102.8,0.24,0.34600000000000003,13.2,23.0,0.521,12.7,77.8,14,2019
108,ORLANDO_MAGIC,-1.01,-0.93,108.5,109.5,-1.0,98.6,0.256,0.364,11.5,22.3,0.535,13.2,79.1,21,2019
109,BROOKLYN_NETS,-0.57,-1.01,108.9,109.5,-0.6,101.4,0.267,0.423,13.1,23.2,0.511,11.0,77.8,2,2019
110,SACRAMENTO_KINGS,-2.04,-1.59,110.2,112.2,-2.0,98.9,0.23,0.395,13.0,21.9,0.5429999999999999,13.6,78.4,25,2019
111,CHICAGO_BULLS,-3.08,-4.0,106.7,109.8,-3.1,99.7,0.231,0.396,13.7,22.8,0.546,16.3,75.6,4,2019
112,MINNESOTA_TIMBERWOLVES,-4.3,-4.02,108.1,112.2,-4.1,103.4,0.277,0.433,13.0,22.1,0.541,13.2,77.2,17,2019
113,DETROIT_PISTONS,-3.56,-4.38,109.0,112.7,-3.7,97.6,0.261,0.381,13.8,22.6,0.541,12.7,75.9,8,2019
114,WASHINGTON_WIZARDS,-4.67,-5.24,110.9,115.5,-4.6,102.7,0.27,0.358,12.2,22.2,0.5579999999999999,13.9,75.3,29,2019
115,NEW_YORK_KNICKS,-6.45,-6.72,106.5,113.0,-6.5,98.6,0.263,0.318,12.6,25.8,0.541,12.4,78.3,19,2019
116,CHARLOTTE_HORNETS,-6.75,-7.03,106.3,113.3,-7.0,95.8,0.252,0.399,13.3,23.9,0.546,13.1,74.4,3,2019
117,ATLANTA_HAWKS,-7.97,-7.71,107.2,114.8,-7.6,103.0,0.258,0.398,13.8,21.6,0.5429999999999999,12.7,74.9,0,2019
118,CLEVELAND_CAVALIERS,-7.89,-7.77,107.5,115.4,-7.9,98.7,0.227,0.362,14.6,24.6,0.56,11.7,77.4,5,2019
119,GOLDEN_STATE_WARRIORS,-8.71,-8.12,105.2,113.8,-8.6,100.3,0.264,0.355,13.2,21.5,0.5529999999999999,13.7,76.4,9,2019
